,Name,Number,Rarity,Details,Quantity,Price,Junk,set
16,"Erebos, Bleak-Hearted",,Mythic,Near Mint Foil English,3,1.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
17,Extended Art Arasta of the Endless Web,,Rare,Near Mint Normal English,2,2.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
18,Extended Art Arasta of the Endless Web,,Rare,Near Mint Foil English,2,4.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
19,Extended Art Archon of Sun's Grace,,Rare,Near Mint Foil English,2,4.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
20,Extended Art Dream Trawler,,Rare,Near Mint Foil English,3,4.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
21,Extended Art Dream Trawler,,Rare,Near Mint Normal English,4,0.75,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
22,Extended Art Dryad of the Ilysian Grove,,Rare,Near Mint Normal English,6,12.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
23,Extended Art Dryad of the Ilysian Grove,,Rare,Near Mint Foil English,1,35.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
24,Extended Art Gallia of the endless Dance,,Rare,Near Mint Foil English,1,1.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
25,Extended Art Gravebreaker Lamia,,Rare,Near Mint Foil English,2,2.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
26,Extended Art Heliod's Intervention,,Rare,Near Mint Normal English,4,1.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
27,Extended Art Heliod's Intervention,,Rare,Near Mint Foil English,6,8.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
28,Extended Art Idyllic Tutor,,Rare,Near Mint Normal English,7,5.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
29,Extended Art Kroxa Titan of Death's Hunger,,Mythic,Near Mint Normal English,8,18.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
30,Extended Art Kroxa Titan of Death's Hunger,,Mythic,Near Mint Foil English,5,60.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
31,"Extended Art Kunoros, Hound of Athreos",,Rare,Near Mint Normal English,4,1.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
32,"Extended Art Kunoros, Hound of Athreos",,Rare,Near Mint Foil English,2,2.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
33,Extended Art Labyrinth of Skophos,,Rare,Near Mint Normal English,2,1.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
34,Extended Art Labyrinth of Skophos,,Rare,Near Mint Foil English,1,2.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
35,Extended Art Nadir Kraken,,Rare,Near Mint Normal English,4,3.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
36,Extended Art Nadir Kraken,,Rare,Near Mint Foil English,1,4.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
37,Extended Art Nightmare Shepherd,,Rare,Near Mint Normal English,3,0.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
38,Extended Art Nightmare Shepherd,,Rare,Near Mint Foil English,2,2.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
39,Extended Art Nylea's Intervention,,Rare,Near Mint Normal English,6,0.75,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
40,Extended Art Nyx Lotus,,Rare,Near Mint Normal English,10,6.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
41,Extended Art Nyx Lotus,,Rare,Near Mint Foil English,12,15.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
42,Extended Art Nyxbloom Ancient,,Mythic,Near Mint Normal English,8,20.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
43,Extended Art Nyxbloom Ancient,,Mythic,Near Mint Foil English,7,50.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
44,Extended Art Ox of Agonas,,Mythic,Near Mint Foil English,4,18.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
45,Extended Art Ox of Agonas,,Mythic,Near Mint Normal English,2,6.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
46,Extended Art Polukranos Unchained,,Mythic,Near Mint Foil English,2,10.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
47,Extended Art Polukranos Unchained,,Mythic,Near Mint Normal English,4,3.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
48,Extended Art Setessan Champion,,Rare,Near Mint Foil English,4,7.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
49,Extended Art Setessan Champion,,Rare,Near Mint Normal English,2,2.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
50,Extended Art Shadowspear,,Rare,Near Mint Foil English,4,36.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
51,Extended Art Shadowspear,,Rare,Near Mint Normal English,6,18.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
52,Extended Art Temple of Abandon,,Rare,Near Mint Normal English,1,1.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
53,Extended Art Temple of Abandon,,Rare,Near Mint Foil English,2,3.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
54,Extended Art Temple of Deceit,,Rare,Near Mint Normal English,2,2.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
55,Extended Art Temple of Deceit,,Rare,Near Mint Foil English,2,6.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
56,Extended Art Temple of Enlightenment,,Rare,Near Mint Normal English,1,2.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
57,Extended Art Temple of Enlightenment,,Rare,Near Mint Foil English,2,6.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
58,Extended Art Temple of Malice,,Rare,Near Mint Normal English,4,1.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
59,Extended Art Temple of Malice,,Rare,Near Mint Foil English,2,6.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
60,Extended Art Temple of Plenty,,Rare,Near Mint Foil English,2,6.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
61,Extended Art Temple of Plenty,,Rare,Near Mint Normal English,3,1.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
62,Extended Art Thassa's Oracle,,Rare,Near Mint Foil English,12,45.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
63,Extended Art Thassa's Oracle,,Rare,Near Mint Normal English,2,14.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
64,Extended Art Thryx the Sudden Storm,,Rare,Near Mint Normal English,4,1.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
65,Extended Art Thryx the Sudden Storm,,Rare,Near Mint Foil English,1,4.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
66,Extended Art Underworld Breach,,Rare,Near Mint Normal English,2,5.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
67,Extended Art Underworld Breach,,Rare,Near Mint Foil English,3,35.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
68,Extended Art Uro Titan of Nature's Wrath,,Mythic,Near Mint Foil English,4,65.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
69,Extended Art Uro Titan of Nature's Wrath,,Mythic,Near Mint Normal English,4,14.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
70,Extended Art Wavebreak Hippocamp,,Rare,Near Mint Foil English,1,2.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
71,Extended Art Woe Strider,,Rare,Near Mint Foil English,1,5.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
72,Extended Art Woe Strider,,Rare,Near Mint Normal English,2,1.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
73,Forest (254),,Common,Near Mint Foil English,18,1.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
74,Forest (254),,Common,Near Mint Normal English,34,0.25,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
75,Heliod's Intervention,,Rare,Near Mint Foil English,2,1.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
76,Heliod's Intervention,,Rare,Near Mint Normal English,8,2.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
77,"Heliod, Sun-Crowned",,Mythic,Near Mint Normal English,11,12.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
78,"Heliod, Sun-Crowned",,Mythic,Near Mint Foil English,2,12.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
79,Hydra's Growth,,Uncommon,Near Mint Normal English,7,0.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
80,Idyllic Tutor,,Rare,Near Mint Foil English,3,4.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
81,Idyllic Tutor,,Rare,Near Mint Normal English,20,2.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
82,Ironscale Hydra,,Rare,Near Mint Normal English,8,1.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
83,Island (251),,Common,Near Mint Normal English,22,0.25,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
84,Island (251),,Common,Near Mint Foil English,26,1.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
85,Kiora Bests the Sea God,,Mythic,Near Mint Foil English,1,2.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
86,Kiora Bests the Sea God,,Mythic,Near Mint Normal English,2,1.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
87,"Kroxa, Titan of Death's Hunger",,Mythic,Near Mint Normal English,6,18.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
88,"Kroxa, Titan of Death's Hunger",,Mythic,Near Mint Foil English,4,20.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
89,Mountain (253),,Common,Near Mint Foil English,15,1.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
90,Mountain (253),,Common,Near Mint Normal English,10,0.25,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
91,Nadir Kraken,,Rare,Near Mint Normal English,8,1.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
92,"Nylea, Keen-Eyed",,Mythic,Near Mint Normal English,7,1.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
93,"Nylea, Keen-Eyed",,Mythic,Near Mint Foil English,4,2.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
94,Nyx Lotus,,Rare,Near Mint Foil English,4,5.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
95,Nyx Lotus,,Rare,Near Mint Normal English,15,4.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
96,Nyxbloom Ancient,,Mythic,Near Mint Normal English,13,13.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
97,Nyxbloom Ancient,,Mythic,Near Mint Foil English,2,14.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
98,Ox of Agonas,,Mythic,Near Mint Foil English,2,2.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
99,Plains (250),,Common,Near Mint Foil English,7,0.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
100,"Polukranos, Unchained",,Mythic,Near Mint Foil English,3,1.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
101,"Polukranos, Unchained",,Mythic,Near Mint Normal English,6,0.25,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
102,"Purphoros, Bronze-Blooded",,Mythic,Near Mint Normal English,12,1.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
103,"Purphoros, Bronze-Blooded",,Mythic,Near Mint Foil English,3,1.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
104,Serpent of Yawning Depths,,Rare,Near Mint Normal English,4,6.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
105,Setessan Champion,,Rare,Near Mint Normal English,8,1.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
106,Setessan Champion,,Rare,Near Mint Foil English,2,1.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
107,Shadowspear,,Rare,Near Mint Normal English,20,12.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
108,Shadowspear,,Rare,Near Mint Foil English,2,14.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
109,"Showcase Erebos, Bleak-Hearted",,Mythic,Near Mint Normal English,2,2.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
110,"Showcase Erebos, Bleak-Hearted",,Mythic,Near Mint Foil English,2,1.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
111,"Showcase Heliod, Sun-Crowned",,Mythic,Near Mint Normal English,6,12.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
112,"Showcase Heliod, Sun-Crowned",,Mythic,Near Mint Foil English,4,15.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
113,"Showcase Klothys, God of Destiny",,Mythic,Near Mint Foil English,3,6.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
114,"Showcase Klothys, God of Destiny",,Mythic,Near Mint Normal English,3,5.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
115,"Showcase Nylea, Keen-Eyed",,Mythic,Near Mint Foil English,6,2.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
116,"Showcase Nylea, Keen-Eyed",,Mythic,Near Mint Normal English,6,2.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
117,"Showcase Purphoros, Bronze-Blooded",,Mythic,Near Mint Foil English,4,1.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
118,"Showcase Purphoros, Bronze-Blooded",,Mythic,Near Mint Normal English,6,1.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
119,"Showcase Thassa, Deep-Dwelling",,Mythic,Near Mint Normal English,5,6.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
120,"Showcase Thassa, Deep-Dwelling",,Mythic,Near Mint Foil English,4,13.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
121,Soul-Guide Lantern,,Uncommon,Near Mint Foil English,4,3.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
122,Soul-Guide Lantern,,Uncommon,Near Mint Normal English,8,0.75,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
123,Swamp (252),,Common,Near Mint Foil English,8,1.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
124,Swamp (252),,Common,Near Mint Normal English,13,0.25,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
125,Tectonic Giant,,Rare,Near Mint Normal English,2,0.10,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
126,Temple of Abandon,,Rare,Near Mint Normal English,3,0.25,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
127,Temple of Plenty,,Rare,Near Mint Normal English,2,0.25,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
128,Terror of Mount Velus,,Rare,Near Mint Normal English,7,0.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
129,Thassa's Oracle,,Rare,Near Mint Normal English,10,6.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
130,Thassa's Oracle,,Rare,Near Mint Foil English,5,7.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
131,"Thassa, Deep-Dwelling",,Mythic,Near Mint Normal English,10,7.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
132,"Thassa, Deep-Dwelling",,Mythic,Near Mint Foil English,2,7.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
133,Underworld Breach,,Rare,Near Mint Foil English,2,4.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
134,Underworld Dreams,,Uncommon,Near Mint Normal English,9,0.15,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
135,"Uro, Titan of Nature's Wrath",,Mythic,Near Mint Foil English,2,8.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
136,Woe Strider,,Rare,Near Mint Normal English,8,0.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
137,Woe Strider,,Rare,Near Mint Foil English,2,0.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Theros_Beyond_Death.html
138,Name,Number,,Details,#,$,,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
139,Ajani Unyielding,,,Near Mint Normal English,8,0.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
140,Ajani Unyielding,,,Near Mint Foil English,2,2.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
141,Ajani Valiant Protector,,Mythic,Near Mint Foil English,4,2.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
142,Baral's Expertise,,,Near Mint Foil English,1,0.25,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
143,"Baral, Chief of Compliance",,,Near Mint Foil English,2,6.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
144,Disallow,,,Near Mint Normal English,7,3.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
145,Disallow,,,Near Mint Foil English,2,5.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
146,Exquisite Archangel,,,Near Mint Normal English,3,4.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
147,Exquisite Archangel,,,Near Mint Foil English,2,4.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
148,Fatal Push,,Uncommon,Near Mint Normal English,16,1.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
149,Fatal Push,,Uncommon,Near Mint Foil English,4,2.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
150,Felidar Guardian,,Uncommon,Near Mint Foil English,2,4.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
151,Gifted Aetherborn,,Uncommon,Near Mint Normal English,7,0.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
152,Gifted Aetherborn,,Uncommon,Near Mint Foil English,2,1.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
153,Gonti's Aether Heart,,,Near Mint Foil English,2,0.75,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
154,Heart of Kiran,,,Near Mint Foil English,2,0.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
155,Herald of Anguish,,,Near Mint Normal English,4,0.75,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
156,Herald of Anguish,,,Near Mint Foil English,1,2.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
157,Heroic Intervention,,,Near Mint Normal English,15,5.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
158,Heroic Intervention,,,Near Mint Foil English,1,10.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
159,Hope of Ghirapur,,,Near Mint Normal English,6,0.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
160,Hope of Ghirapur,,,Near Mint Foil English,4,3.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
161,Indomitable Creativity,,,Near Mint Foil English,2,6.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
162,Indomitable Creativity,,,Near Mint Normal English,6,1.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
163,Inspiring Statuary,,,Near Mint Normal English,4,3.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
164,Inspiring Statuary,,,Near Mint Foil English,2,3.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
165,Lifecrafter's Bestiary,,,Near Mint Normal English,4,0.25,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
166,Mechanized Production,,,Near Mint Normal English,7,10.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
167,Mechanized Production,,,Near Mint Foil English,1,10.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
168,Metallic Mimic,,,Near Mint Normal English,1,4.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
169,Metallic Mimic,,,Near Mint Foil English,3,9.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
170,Metallic Rebuke,,,Near Mint Foil English,3,1.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
171,Ornithopter,,Uncommon,Near Mint Foil English,3,2.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
172,Paradox Engine,,,Near Mint Normal English,8,4.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
173,Paradox Engine,,,Near Mint Foil English,2,8.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
174,Planar Bridge,,,Near Mint Normal English,4,5.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
175,Planar Bridge,,,Near Mint Foil English,2,6.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
176,Rishkar's Expertise,,,Near Mint Normal English,8,1.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
177,Rishkar's Expertise,,,Near Mint Foil English,2,4.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
178,"Rishkar, Peema Renegade",,,Near Mint Foil English,2,1.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
179,Scrap Trawler,,,Near Mint Normal English,3,0.25,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
180,Scrap Trawler,,,Near Mint Foil English,2,1.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
181,Spire of Industry,,,Near Mint Foil English,2,6.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
182,"Sram, Senior Edificer",,,Near Mint Foil English,3,3.00,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
183,Tezzeret Master of Metal,,Mythic,Near Mint Foil English,3,0.50,Sell to Us,http://shop.strikezoneonline.com/BuyList/Aether_Revolt.html
